modelo,familia,modo,programa,mape_mean,mape_std,n_folds
ARIMA,Estatístico,POR_SETOR,FRUTICULTURA IRRIGADA,5.84,2.163746750430836,2
ARIMA,Estatístico,POR_SETOR,PESCA ARTESANAL,6.745,3.64159992311072,2
ARIMA,Estatístico,GLOBAL,TODOS,7.459999999999999,4.808326112068523,2
ARIMA,Estatístico,POR_SETOR,ZONA CANAVIEIRA,15.829999999999998,9.97020561473032,2
ETS,Estatístico,POR_SETOR,FRUTICULTURA IRRIGADA,27.900000000000002,8.282252109179002,3
ETS,Estatístico,GLOBAL,TODOS,28.77333333333333,12.630488246039159,3
ETS,Estatístico,POR_SETOR,PESCA ARTESANAL,31.356666666666666,21.020024579750935,3
ETS,Estatístico,POR_SETOR,ZONA CANAVIEIRA,40.053333333333335,34.453425567471996,3
DecisionTree,ML Clássico,POR_SETOR,FRUTICULTURA IRRIGADA,10.51,2.802730811191114,3
DecisionTree,ML Clássico,POR_SETOR,PESCA ARTESANAL,11.316666666666668,7.571805156852185,3
DecisionTree,ML Clássico,GLOBAL,TODOS,19.80333333333333,9.715412154578587,3
LinearRegression,ML Clássico,POR_SETOR,PESCA ARTESANAL,33.26666666666667,27.119716689768968,3
DecisionTree,ML Clássico,POR_SETOR,ZONA CANAVIEIRA,34.373333333333335,2.6849456853600118,3
LinearRegression,ML Clássico,GLOBAL,TODOS,76.31,30.344469018257673,3
LinearRegression,ML Clássico,POR_SETOR,ZONA CANAVIEIRA,113.42333333333333,57.27198297015158,3
LinearRegression,ML Clássico,POR_SETOR,FRUTICULTURA IRRIGADA,192.07000000000002,218.38396255219845,3
RandomForest,ML Moderno,POR_SETOR,FRUTICULTURA IRRIGADA,9.086666666666668,9.23935784204364,3
RandomForest,ML Moderno,POR_SETOR,PESCA ARTESANAL,10.85,5.221647249671315,3
RandomForest,ML Moderno,GLOBAL,TODOS,18.036666666666665,5.570478734663057,3
LightGBM,ML Moderno,POR_SETOR,ZONA CANAVIEIRA,20.383333333333336,20.870307456607662,3
LightGBM,ML Moderno,GLOBAL,TODOS,24.13,14.135851583827552,3
LightGBM,ML Moderno,POR_SETOR,PESCA ARTESANAL,30.529999999999998,8.690707681196047,3
LightGBM,ML Moderno,POR_SETOR,FRUTICULTURA IRRIGADA,33.64333333333334,29.83850923443283,3
RandomForest,ML Moderno,POR_SETOR,ZONA CANAVIEIRA,33.86666666666667,9.68364772868847,3
