modelo,familia,modo,MAE,RMSE,MAPE%,y_true,y_pred,scope,programa,y_true_total,y_pred_total,fold,n_train
ARIMA,Estatístico,GLOBAL,,,,21675.0,,GLOBAL,TODOS,,,2023,2
ETS,Estatístico,GLOBAL,3075.0,3075.0,14.19,21675.0,18600.000000063566,GLOBAL,TODOS,,,2023,2
ETS_notrend,Estatístico,GLOBAL,11077.63,11077.63,51.11,21675.0,32752.63378663739,GLOBAL,TODOS,,,2023,2
LinearRegression,ML Clássico,GLOBAL,2064.01,2537.45,43.65,,,GLOBAL,TODOS,21675.0,15483.0,2023,2
DecisionTree,ML Clássico,GLOBAL,2279.34,2634.18,29.57,,,GLOBAL,TODOS,21675.0,24994.0,2023,2
RandomForest,ML Moderno,GLOBAL,2793.51,3406.26,34.15,,,GLOBAL,TODOS,21675.0,24222.0,2023,2
LightGBM,ML Moderno,GLOBAL,3238.88,3887.56,39.94,,,GLOBAL,TODOS,21675.0,24119.0,2023,2
Naive,Baseline,GLOBAL,6461.67,9123.73,71.35,,,GLOBAL,TODOS,21675.0,37470.0,2023,2
ARIMA,Estatístico,POR_SETOR,,,,4072.0,,POR_SETOR,FRUTICULTURA IRRIGADA,,,2023,2
ETS,Estatístico,POR_SETOR,1068.0,1068.0,26.23,4072.0,3003.999999963693,POR_SETOR,FRUTICULTURA IRRIGADA,,,2023,2
ETS_notrend,Estatístico,POR_SETOR,1248.0,1248.0,30.65,4072.0,5320.000693364716,POR_SETOR,FRUTICULTURA IRRIGADA,,,2023,2
LinearRegression,ML Clássico,POR_SETOR,2793.92,2793.92,68.61,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,1278.0,2023,2
DecisionTree,ML Clássico,POR_SETOR,486.5,486.5,11.95,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,4558.0,2023,2
RandomForest,ML Moderno,POR_SETOR,796.97,796.97,19.57,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,3275.0,2023,2
LightGBM,ML Moderno,POR_SETOR,1412.0,1412.0,34.68,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,2660.0,2023,2
Naive,Baseline,POR_SETOR,2020.0,2020.0,49.61,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,6092.0,2023,2
ARIMA,Estatístico,POR_SETOR,,,,6049.0,,POR_SETOR,PESCA ARTESANAL,,,2023,2
