modelo,familia,modo,programa,mape_mean,mape_std,n_folds
Naive,Baseline,POR_SETOR,PESCA ARTESANAL,17.33666666666667,13.993031599097222,3
Naive,Baseline,POR_SETOR,FRUTICULTURA IRRIGADA,17.736666666666668,27.634660000320853,3
Naive,Baseline,GLOBAL,TODOS,35.72,32.05003744147579,3
Naive,Baseline,POR_SETOR,ZONA CANAVIEIRA,72.08666666666666,57.272318211622384,3
ETS_notrend,Estatístico,POR_SETOR,PESCA ARTESANAL,5.349999999999999,3.912377793618607,3
ARIMA,Estatístico,POR_SETOR,FRUTICULTURA IRRIGADA,5.84,2.163746750430836,2
ARIMA,Estatístico,POR_SETOR,PESCA ARTESANAL,6.745,3.64159992311072,2
ARIMA,Estatístico,GLOBAL,TODOS,7.459999999999999,4.808326112068523,2
ARIMA,Estatístico,POR_SETOR,ZONA CANAVIEIRA,15.829999999999998,9.97020561473032,2
ETS_notrend,Estatístico,POR_SETOR,FRUTICULTURA IRRIGADA,16.76,12.077926146487235,3
ETS_notrend,Estatístico,GLOBAL,TODOS,19.653333333333332,27.253870061577185,3
ETS,Estatístico,POR_SETOR,FRUTICULTURA IRRIGADA,27.900000000000002,8.282252109179002,3
ETS,Estatístico,GLOBAL,TODOS,28.77333333333333,12.630488246039159,3
ETS,Estatístico,POR_SETOR,PESCA ARTESANAL,31.356666666666666,21.020024579750935,3
ETS_notrend,Estatístico,POR_SETOR,ZONA CANAVIEIRA,35.22,47.519776935503394,3
ETS,Estatístico,POR_SETOR,ZONA CANAVIEIRA,40.053333333333335,34.453425567471996,3
DecisionTree,ML Clássico,POR_SETOR,PESCA ARTESANAL,9.55,7.677232574306969,3
DecisionTree,ML Clássico,POR_SETOR,FRUTICULTURA IRRIGADA,10.51,2.802730811191114,3
DecisionTree,ML Clássico,POR_SETOR,ZONA CANAVIEIRA,20.636666666666667,14.072968177798646,3
LinearRegression,ML Clássico,POR_SETOR,PESCA ARTESANAL,24.21666666666667,17.66566255008097,3
DecisionTree,ML Clássico,GLOBAL,TODOS,35.45333333333333,18.712034452013317,3
LinearRegression,ML Clássico,GLOBAL,TODOS,42.69,7.088920933400231,3
LinearRegression,ML Clássico,POR_SETOR,ZONA CANAVIEIRA,87.30666666666667,33.51200730086656,3
LinearRegression,ML Clássico,POR_SETOR,FRUTICULTURA IRRIGADA,170.22333333333333,204.312565040267,3
RandomForest,ML Moderno,POR_SETOR,FRUTICULTURA IRRIGADA,16.216666666666665,2.9968705900210875,3
RandomForest,ML Moderno,POR_SETOR,PESCA ARTESANAL,18.506666666666664,12.918902172140376,3
RandomForest,ML Moderno,POR_SETOR,ZONA CANAVIEIRA,20.80333333333333,22.670265400593202,3
RandomForest,ML Moderno,GLOBAL,TODOS,21.226666666666667,13.192787170773782,3
LightGBM,ML Moderno,GLOBAL,TODOS,21.563333333333333,15.984725000241115,3
LightGBM,ML Moderno,POR_SETOR,ZONA CANAVIEIRA,21.69666666666667,19.72505344310462,3
LightGBM,ML Moderno,POR_SETOR,PESCA ARTESANAL,30.06,9.052287003846043,3
LightGBM,ML Moderno,POR_SETOR,FRUTICULTURA IRRIGADA,33.64333333333334,29.83850923443283,3
