criterio,programa,modo,modelo_eleito,score_historico,mape_hist_mean,mape_hist_std,n_folds_hist,mape_realizado,mape_oracle,regret
MeanMAPE,TODOS,GLOBAL,ARIMA,10.86,10.86,,1,4.06,3.13,0.93
WeightedMAPE,TODOS,GLOBAL,ARIMA,10.86,10.86,,1,4.06,3.13,0.93
StableMAPE,TODOS,GLOBAL,ARIMA,10.86,10.86,,1,4.06,3.13,0.93
MeanMAPE,FRUTICULTURA IRRIGADA,POR_SETOR,ARIMA,7.37,7.37,,1,4.31,3.3,1.01
WeightedMAPE,FRUTICULTURA IRRIGADA,POR_SETOR,ARIMA,7.37,7.37,,1,4.31,3.3,1.01
StableMAPE,FRUTICULTURA IRRIGADA,POR_SETOR,ARIMA,7.37,7.37,,1,4.31,3.3,1.01
MeanMAPE,PESCA ARTESANAL,POR_SETOR,ARIMA,4.17,4.17,,1,9.32,4.77,4.55
WeightedMAPE,PESCA ARTESANAL,POR_SETOR,ARIMA,4.17,4.17,,1,9.32,4.77,4.55
StableMAPE,PESCA ARTESANAL,POR_SETOR,ARIMA,4.17,4.17,,1,9.32,4.77,4.55
MeanMAPE,ZONA CANAVIEIRA,POR_SETOR,ARIMA,22.88,22.88,,1,8.78,3.78,5.0
WeightedMAPE,ZONA CANAVIEIRA,POR_SETOR,DecisionTree,20.9067,24.9,16.9423,2,12.11,3.78,8.33
StableMAPE,ZONA CANAVIEIRA,POR_SETOR,ARIMA,22.88,22.88,,1,8.78,3.78,5.0
