criterio,programa,modo,modelo_eleito,score_historico,mape_hist_mean,mape_hist_std,n_folds_hist,mape_realizado,mape_oracle,regret
MeanMAPE,TODOS,GLOBAL,DecisionTree,24.98,24.98,6.4912,2,56.4,3.13,53.27
WeightedMAPE,TODOS,GLOBAL,ETS_notrend,20.1833,27.915,32.8027,2,3.13,3.13,0.0
StableMAPE,TODOS,GLOBAL,DecisionTree,28.2256,24.98,6.4912,2,56.4,3.13,53.27
MeanMAPE,FRUTICULTURA IRRIGADA,POR_SETOR,DecisionTree,9.615,9.615,3.3022,2,12.3,3.3,9.0
WeightedMAPE,FRUTICULTURA IRRIGADA,POR_SETOR,DecisionTree,8.8367,9.615,3.3022,2,12.3,3.3,9.0
StableMAPE,FRUTICULTURA IRRIGADA,POR_SETOR,DecisionTree,11.2661,9.615,3.3022,2,12.3,3.3,9.0
MeanMAPE,PESCA ARTESANAL,POR_SETOR,ETS_notrend,5.64,5.64,5.4871,2,4.77,4.77,0.0
WeightedMAPE,PESCA ARTESANAL,POR_SETOR,ETS_notrend,4.3467,5.64,5.4871,2,4.77,4.77,0.0
StableMAPE,PESCA ARTESANAL,POR_SETOR,ETS_notrend,8.3836,5.64,5.4871,2,4.77,4.77,0.0
MeanMAPE,ZONA CANAVIEIRA,POR_SETOR,DecisionTree,24.9,24.9,16.9423,2,12.11,3.78,8.33
WeightedMAPE,ZONA CANAVIEIRA,POR_SETOR,DecisionTree,20.9067,24.9,16.9423,2,12.11,3.78,8.33
StableMAPE,ZONA CANAVIEIRA,POR_SETOR,DecisionTree,33.3711,24.9,16.9423,2,12.11,3.78,8.33
